,SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
8746,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$273.65,Aabalat Fine & Rare Wines,"2010Pape Clement Pessac Leognan,Red Blend",USA (CA)
8747,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$279.00,Morrell & Company,"Pape Clement Pessac-Leognan2010(750ML),Pessac Leognan",USA (NY)
8749,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$303.00,Verve Wine,Chateau Pape Clement Pessac-Leognan2010,USA (NY)
8751,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$324.99,Gordon's Fine Wines & Liquors,PAPECLEMENTPESSAC-LEOGNAN2010750ML,USA (MA)
8752,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$435.00,Vinfolio,2010Pape Clement,USA (CA)
8758,11550,"Ch Pape Clement,Rouge",2010,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2010/-/-/u,$1099.00, Shop,Chateau-Pape-Clement Pessac Leognan2010,USA (NJ)
8763,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$250.00,WineBank,"1998Pavie[RP97],Bordeaux Red",USA (CA)
8765,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$275.00,Courtier,Pavie1998,USA (CA)
8767,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$290.00,THE ODD WINE CO. LLC,1998Pavie Saint Emilion,USA (FL)
8768,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$299.00,IronGate.Wine,1998Pavie-750mL-10839,USA (NY)
8769,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$300.00,Vinfolio,1998Pavie750ML,USA (CA)
8774,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$319.00,IronGate.Wine,1998Pavie-750ml,USA (NY)
8776,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$324.98,Wine Exchange,Pavie Saint Emilion1998,USA (CA)
8779,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$361.00,The Redd Collection,1998Ch Pavie,USA (CA)
8785,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$450.00,Sokolin & Co.,1998Pavie,USA (NY)
8801,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$4266.99,Flickinger Wines,1998Ch.Pavie St.Emilion,USA (IL)
8802,11551,Ch Pavie,1998,750ml,https://www.wine-searcher.com/find/ch+pavie/1998/-/-/u,$4560.00,Wine Cellarage,1998Chateau Pavie[Future Arrival],USA (NY)
8803,11552,Ch Pavie,2000,750ml,https://www.wine-searcher.com/find/ch+pavie/2000/-/-/u,$475.00,Benchmark Wine Group,Pavie2000,USA (CA)
